名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
布洛克BULLOCK网咖(中心西街店),体育休闲服务,娱乐场所,网吧,云塔北广场鑫源华府2楼,陕西省,西安市,周至县,108.2080526,34.16313039
瑞诗凯诗瑜伽会馆,体育休闲服务,运动场馆,健身中心,中心西街与建设北路路口向西约50米,陕西省,西安市,周至县,108.2093699,34.16260219
汉仁网咖(装修中),体育休闲服务,娱乐场所,网吧,城中心西街转盘什字西北角,陕西省,西安市,周至县,108.2019541,34.16300219
飞狐网吧,体育休闲服务,娱乐场所,网吧,中心西街26号附近,陕西省,西安市,周至县,108.2046093,34.16277796
小贝壳网咖,体育休闲服务,娱乐场所,网吧,隆发云塔广场E-019(八云塔东南角),陕西省,西安市,周至县,108.2084333,34.16218415
龙达俱乐部,体育休闲服务,娱乐场所,娱乐场所,二曲镇中心街7号,陕西省,西安市,周至县,108.2101493,34.16263314
周至健身溜冰场,体育休闲服务,运动场馆,溜冰场,中心西街北50米,陕西省,西安市,周至县,108.2046303,34.16277699
卓尔瑜伽艺术生活馆,体育休闲服务,运动场馆,健身中心,云塔北街与瑞光路交叉口东50米,陕西省,西安市,周至县,108.2078191,34.16319707
龙圣跆拳道,体育休闲服务,运动场馆,跆拳道场馆,云塔北街与瑞光路交叉口西北100米,陕西省,西安市,周至县,108.2068103,34.16363663
聚友活动中心,体育休闲服务,休闲场所,休闲场所,北新街26号附近,陕西省,西安市,周至县,108.2171252,34.1637665
小蚂蚁网咖,体育休闲服务,娱乐场所,网吧,老城东街5附近,陕西省,西安市,周至县,108.2134145,34.16430142
鼎峰量贩KTV(周至店),体育休闲服务,娱乐场所,KTV,隆发尚品商城B1层,陕西省,西安市,周至县,108.2126745,34.16246215
星空VR,体育休闲服务,娱乐场所,娱乐场所,中心东街与南大街交叉口西南50米,陕西省,西安市,周至县,108.2126725,34.16201328
海浪健身舞蹈俱乐部,体育休闲服务,运动场馆,健身中心,北大街隆发购物广场向北200米(怡和商务楼6层),陕西省,西安市,周至县,108.2135016,34.16421554
摩尔健身(周至店),体育休闲服务,运动场馆,健身中心,中心东街10号(紫瑞大厦3楼),陕西省,西安市,周至县,108.2133916,34.16251194
金周水上乐园(周至店),体育休闲服务,休闲场所,水上活动中心,北环路中段与北大街北10米(三门十字向北800米路北),陕西省,西安市,周至县,108.2138297,34.16988516
周至跆拳道馆,体育休闲服务,运动场馆,跆拳道场馆,仁义巷77号(圣园小区附近),陕西省,西安市,周至县,108.2169659,34.16376734
龙跆拳道,体育休闲服务,运动场馆,跆拳道场馆,仁义巷与北大街交叉口东北50米,陕西省,西安市,周至县,108.2132993,34.16419532
兴华跆拳道(老城西街店),体育休闲服务,运动场馆,跆拳道场馆,老城西街26号,陕西省,西安市,周至县,108.2121444,34.1645709
县马村健身广场,体育休闲服务,运动场馆,户外健身场所,周富路与老城东街交叉口西北150米,陕西省,西安市,周至县,108.2241892,34.1654672
中通速递(城东网点),体育休闲服务,娱乐场所,网吧,二曲镇王婆寺十字北100米路西,陕西省,西安市,周至县,108.2219036,34.16323305
