名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
中国工商银行24小时自助银行(唐延路),金融保险服务,自动提款机,中国工商银行ATM,唐延路北段59号,陕西省,西安市,莲湖区,108.8855188,34.24185387
西安中金投资担保有限公司,金融保险服务,金融保险服务机构,金融保险机构,唐延路3号唐延国际中心CD区14层,陕西省,西安市,雁塔区,108.8856523,34.23551331
莲湖联社沣慧路信用社营业室,金融保险服务,金融保险服务机构,金融保险机构,科技路219号,陕西省,西安市,雁塔区,108.884189,34.24006986
深圳市中合银融资担保有限公司西安分公司,金融保险服务,金融保险服务机构,金融保险机构,高新四路115号附近,陕西省,西安市,雁塔区,108.8902545,34.23815511
中国人民人寿保险(陕西分公司),金融保险服务,金融保险服务机构,金融保险机构,科技路48号创业广场B座3层,陕西省,西安市,雁塔区,108.8891378,34.23700519
交通银行ATM(嘉龙大厦西),金融保险服务,自动提款机,交通银行ATM,高新四路15号西北大学桃园校区,陕西省,西安市,莲湖区,108.8904362,34.24116104
西安德衡投资咨询公司,金融保险服务,金融保险服务机构,金融保险机构,高新五路2号创拓大厦B205,陕西省,西安市,雁塔区,108.8873534,34.23308696
国元证券(西安高新四路营业部),金融保险服务,证券公司,证券营业厅,高新四路8号3幢1单元10104-10105室,陕西省,西安市,雁塔区,108.8915381,34.23913808
中国建设银行ATM(嘉龙大厦西),金融保险服务,自动提款机,中国建设银行ATM,西北大学桃园校区综合办公楼1层,陕西省,西安市,莲湖区,108.8904462,34.24118103
西安银行(高新支行),金融保险服务,银行,银行,科技路27号E阳国际1层,陕西省,西安市,雁塔区,108.894776,34.23536504
中信证券(陕西分公司),金融保险服务,证券公司,证券公司,科技路27号E阳国际13层,陕西省,西安市,雁塔区,108.8950559,34.23537706
兴业银行(西安高新支行),金融保险服务,银行,兴业银行,高新二路12号协同大厦1层,陕西省,西安市,雁塔区,108.8972055,34.23836503
兴民银行,金融保险服务,银行,银行,光德路与高新二路交叉口东北50米,陕西省,西安市,雁塔区,108.896483,34.23661868
中国人民健康保险股份有限公司(陕西分公司),金融保险服务,保险公司,中国人民保险公司,高新路52号高科大厦14层,陕西省,西安市,雁塔区,108.89984,34.2344883
招商银行(西安分行),金融保险服务,银行,招商银行,高新二路1号2层,陕西省,西安市,莲湖区,108.9000512,34.24175156
长安银行总行,金融保险服务,银行,银行,高新四路13号朗臣大厦1-15层,陕西省,西安市,雁塔区,108.8931374,34.24040594
天津银行,金融保险服务,银行,银行,科技路23号附近,陕西省,西安市,雁塔区,108.894803,34.23538103
中国工商银行(高新支行),金融保险服务,银行,中国工商银行,高新路1号,陕西省,西安市,雁塔区,108.9014825,34.23663025
万联证券(科技路),金融保险服务,证券公司,证券公司,科技路38号林凯国际大厦,陕西省,西安市,雁塔区,108.8955378,34.23408857
交通银行太平洋信用卡中心(西安分中心),金融保险服务,银行相关,银行相关,高新二路协同大厦D座2-3层,陕西省,西安市,雁塔区,108.8972204,34.23873589
中国邮政储蓄银行(西安市分行),金融保险服务,银行,中国邮政储蓄银行,科技路36号邮政大厦,陕西省,西安市,雁塔区,108.8963143,34.23404762
中国银行(西安高新技术开发区支行),金融保险服务,银行,中国银行,高新路52号高科大厦2层,陕西省,西安市,雁塔区,108.9001327,34.23442329
北京银行(西安高新开发区支行),金融保险服务,银行,北京银行,科技路39号亚美大厦群楼1-2层,陕西省,西安市,雁塔区,108.8957496,34.23519617
瑞迅金服专业银行贷款,金融保险服务,银行,银行,光华路与安吉巷交叉口东北150米,陕西省,西安市,雁塔区,108.9013205,34.23752594
中意人寿保险有限公司(陕西分公司),金融保险服务,保险公司,保险公司,高新二路1号招商银行大厦9层,陕西省,西安市,雁塔区,108.9001821,34.24155862
中国建设银行(西安高新技术产业开发区支行),金融保险服务,银行,中国建设银行,高新路42号金融大厦(近光华路),陕西省,西安市,雁塔区,108.9014315,34.23658327
中信银行(西安科技路支行),金融保险服务,银行,中信银行,高新技术产业开发区科技路33号高新国际商务中心,陕西省,西安市,雁塔区,108.8996961,34.23354567
昆吾九鼎投资管理有限公司(科技路),金融保险服务,金融保险服务机构,金融保险机构,科技路27号E阳国际22层,陕西省,西安市,雁塔区,108.894843,34.23552598
中国建设银行(高新二路支行),金融保险服务,银行,中国建设银行,科技路林凯国际大厦1层,陕西省,西安市,雁塔区,108.8951569,34.23428647
永安保险(高新支公司),金融保险服务,保险公司,保险公司,光华路13号兴业大厦,陕西省,西安市,雁塔区,108.8977922,34.23717147
西部证券(高新区证券营业部),金融保险服务,证券公司,证券营业厅,高新一路16号创业大厦,陕西省,西安市,雁塔区,108.8995879,34.23786008
中国农业银行(西安高新技术产业开发区支行),金融保险服务,银行,中国农业银行,高新路52号高科大厦1层,陕西省,西安市,雁塔区,108.9000089,34.23419339
西安创新技术投资担保有限公司(高新二路),金融保险服务,金融保险服务机构,金融保险机构,高新二路10号协同大厦A座5层,陕西省,西安市,雁塔区,108.8970176,34.23869991
江泰保险经纪股份有限公司(西安分公司),金融保险服务,保险公司,保险公司,科技路27号E阳国际4层,陕西省,西安市,雁塔区,108.894843,34.23552598
中国民生银行(西安高新开发区支行),金融保险服务,银行,中国民生银行,高新路48号火炬大厦1层,陕西省,西安市,雁塔区,108.900935,34.23533383
国海证券(科技路营业),金融保险服务,证券公司,证券营业厅,科技路33号高新国际商务中心9层,陕西省,西安市,雁塔区,108.8992465,34.23372065
融易投资咨询管理有限责任公司,金融保险服务,金融保险服务机构,金融保险机构,高新三路9号信息港大厦3层303,陕西省,西安市,雁塔区,108.8955224,34.23898675
西安水平保险公估有限公司,金融保险服务,保险公司,保险公司,科技路27号E阳国际4层,陕西省,西安市,雁塔区,108.894843,34.23552598
西安银行24自助银行服务,金融保险服务,自动提款机,自动提款机,科技路27号E阳国际1层,陕西省,西安市,雁塔区,108.894803,34.23538103
中国邮政储蓄银行(高新四路支行),金融保险服务,银行,中国邮政储蓄银行,高新四路10号西大新区,陕西省,西安市,莲湖区,108.8931443,34.24150352
国泰君安证券(高新路证券营业部),金融保险服务,证券公司,证券营业厅,高新路56号电信大厦裙楼2层,陕西省,西安市,雁塔区,108.898633,34.23217227
北京银行24小时自助银行(高新开发区支行),金融保险服务,自动提款机,北京银行ATM,科技路39号亚美大厦,陕西省,西安市,雁塔区,108.8957566,34.23519218
陕西晶海投资管理集团,金融保险服务,金融保险服务机构,金融保险机构,高新二路1号招商银行大厦33层,陕西省,西安市,雁塔区,108.9001821,34.24155862
丝路硅谷,金融保险服务,金融保险服务机构,金融保险机构,西安创业咖啡街区天使楼5楼,陕西省,西安市,雁塔区,108.897863,34.23837102
中国工商银行24小时自助银行(高新支行),金融保险服务,自动提款机,中国工商银行ATM,高新区高新路1号,陕西省,西安市,雁塔区,108.9014735,34.23658826
中信建投期货有限公司(西安营业部),金融保险服务,证券公司,证券营业厅,科技路38号林凯国际大厦,陕西省,西安市,雁塔区,108.8955378,34.23408857
陕西裕隆投资担保有限公司,金融保险服务,金融保险服务机构,金融保险机构,科技路27号E阳国际5层,陕西省,西安市,雁塔区,108.894843,34.23552598
恒天财富,金融保险服务,金融保险服务机构,金融保险机构,科技路48号创业大厦B座1503,陕西省,西安市,雁塔区,108.89944,34.2378371
中国建设银行ATM(邮政小区东北),金融保险服务,自动提款机,中国建设银行ATM,科技路37号(邮政小区东北),陕西省,西安市,雁塔区,108.8965971,34.23480835
陕西新希望能源投资发展有限公司,金融保险服务,金融保险服务机构,金融保险机构,科技路27号E阳国际15A层,陕西省,西安市,雁塔区,108.894843,34.23552598
陕西中银金融服务有限公司,金融保险服务,金融保险服务机构,金融保险机构,高新一路16号创业大厦A1207,陕西省,西安市,雁塔区,108.8995879,34.23786008
南京证券(西安营业部),金融保险服务,证券公司,证券营业厅,高新二路协同大厦4楼,陕西省,西安市,雁塔区,108.8973803,34.23881586
东方财富证券(西安科技路营业部),金融保险服务,证券公司,证券营业厅,科技路高新商务中心数码大厦16层11607号B区,陕西省,西安市,雁塔区,108.8994573,34.2335397
中国银行24小时自助银行(光泰路),金融保险服务,自动提款机,中国银行ATM,光泰路与高新二路交叉口西北150米,陕西省,西安市,莲湖区,108.8974471,34.24066117
中国工商银行24小时自助银行(科技路),金融保险服务,自动提款机,中国工商银行ATM,科技路33号(中国电信西北),陕西省,西安市,雁塔区,108.8989417,34.23345378
山西证券有限责任公司(西安高新二路证劵营业部),金融保险服务,证券公司,证券营业厅,高新二路2号山西证券大厦2层,陕西省,西安市,雁塔区,108.8992828,34.2418816
中国建设银行ATM(西安高新技术产业开发区支行),金融保险服务,自动提款机,中国建设银行ATM,高新路42号,陕西省,西安市,雁塔区,108.9010658,34.23649537
中国邮政储蓄银行24小时自助银行(西安市分行营业部),金融保险服务,银行,中国邮政储蓄银行,科技路36号,陕西省,西安市,雁塔区,108.8963363,34.23403763
中国工商银行内部审计局(西安分局),金融保险服务,银行相关,银行相关,高新开发区高新路1号金融大厦中国工商银行内,陕西省,西安市,雁塔区,108.9013726,34.23643334
天安保险(陕西分公司营业部),金融保险服务,保险公司,保险公司,科技路27号E阳国际22层,陕西省,西安市,雁塔区,108.894843,34.23552598
爱建证券,金融保险服务,金融保险服务机构,金融保险机构,丈八沟街道科技路38号林凯国际大厦70A,陕西省,西安市,雁塔区,108.8953469,34.2342335
华夏人寿保险股份有限公司,金融保险服务,金融保险服务机构,金融保险机构,高新区科技路33号数码大厦20层,陕西省,西安市,雁塔区,108.8984699,34.23468835
大地保险高新支公司,金融保险服务,金融保险服务机构,金融保险机构,电子城街道四路高新9号广场2号楼16层,陕西省,西安市,雁塔区,108.8953483,34.24053716
中信银行ATM(高新一路),金融保险服务,自动提款机,中信银行ATM,科技路37号金鹰国际购物中心F1,陕西省,西安市,雁塔区,108.8976845,34.23429154
大童金融财富,金融保险服务,金融保险服务机构,金融保险机构,电子城街道高新路42号建设银行13层,陕西省,西安市,雁塔区,108.9010458,34.23651337
长安信托,公司企业,公司,公司|金融保险服务,高新技术产业开发区科技路33号高新国际商务中心,陕西省,西安市,雁塔区,108.8992225,34.23374464
大童保险服务,金融保险服务,金融保险服务机构,金融保险机构,高新路42号建行13层,陕西省,西安市,雁塔区,108.9011328,34.2366653
陕西国成投资有限责任公司,金融保险服务,金融保险服务机构,金融保险机构,高新技术产业开发区科技路37号海星城市广场A座19层,陕西省,西安市,雁塔区,108.8978044,34.23461441
