名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_L纬度
梅杰超市,购物服务,超级市场,超市,黄鹿镇建材街118号,四川省,德阳市,中江县,104.7049301,31.25430871
乡音超市,购物服务,超级市场,超市,106县道黄鹿加油站西南200米,四川省,德阳市,中江县,104.7046807,31.25445201
世纪华联超市(洛水店),购物服务,超级市场,超市,导洛路与杨春路交叉口旁,四川省,德阳市,什邡市,104.0539062,31.24576709
雁源超市,购物服务,超级市场,超市,永兴路与洛水路交叉口北50米,四川省,德阳市,什邡市,104.0568096,31.24578994
米家超市,购物服务,超级市场,超市,大安路与宏达路交叉口西100米,四川省,德阳市,什邡市,104.0581997,31.24468808
添添超市(界牌街店),购物服务,超级市场,超市,政府西路与界牌街交叉口南50米,四川省,德阳市,旌阳区,104.2758269,31.24362014
张勇超市,购物服务,超级市场,超市,界牌街和政府西路的交叉口附近,四川省,德阳市,旌阳区,104.275731,31.244177
沁月超市,购物服务,超级市场,超市,阳安大道与青年路交叉口西100米,四川省,德阳市,旌阳区,104.279882,31.24459527
家家发,购物服务,超级市场,超市,阳安大道与青年路交叉口北50米,四川省,德阳市,旌阳区,104.28043,31.24496546
光绪干杂副食超市,购物服务,超级市场,超市,阳安大道附近,四川省,德阳市,旌阳区,104.2814721,31.24641659
裕希超市,购物服务,超级市场,超市,泰山北路,四川省,德阳市,旌阳区,104.4114602,31.23713896
海娅超市,购物服务,超级市场,超市,黄许镇翰信北郡,四川省,德阳市,旌阳区,104.4130643,31.23823638
欣欣购物广场,购物服务,超级市场,超市,G5京昆高速入口与G5京昆高速出口交叉口西北200米,四川省,德阳市,旌阳区,104.4250207,31.24366738
乐佳超市,购物服务,超级市场,超市,蟠龙镇华龙街86号,四川省,德阳市,罗江区,104.5175817,31.24629405
三三超市,购物服务,超级市场,超市,黄德路南50米,四川省,德阳市,罗江区,104.6375793,31.23974033
佳用超市,购物服务,超级市场,超市,黄德路南50米,四川省,德阳市,罗江区,104.6402918,31.23832873
感恩超市,购物服务,超级市场,超市,马祖镇渔江村,四川省,德阳市,什邡市,104.0792934,31.22980128
富江超市317,购物服务,超级市场,超市,德新镇星光村13组12号,四川省,德阳市,旌阳区,104.3674068,31.22815008
天昕超市,购物服务,超级市场,超市,天昕休闲庄(国坪路东),四川省,成都市,彭州市,103.7796532,31.22189614
家家乐超市,购物服务,超级市场,超市,新市镇新胜街44号15栋,四川省,德阳市,绵竹市,104.1759783,31.22307958
新时代联华超市(长宁街),购物服务,超级市场,超市,新市镇平安街,四川省,德阳市,绵竹市,104.1817861,31.22145605
成都宏运百货平价商场,购物服务,商场,普通商场,新胜大街附近,四川省,德阳市,绵竹市,104.1813313,31.22122633
祥汇超市,购物服务,超级市场,超市,仁寿街与平安路交叉口西50米,四川省,德阳市,绵竹市,104.1815706,31.22284902
乐宜家超市(新市店),购物服务,超级市场,超市,新胜大街30号附近,四川省,德阳市,绵竹市,104.1799597,31.22176656
家得利超市,购物服务,超级市场,超市,新胜大街与新胜路交叉口东100米,四川省,德阳市,绵竹市,104.1797624,31.22180718
嘉和超市批发中心,购物服务,便民商店/便利店,便民商店/便利店|购物服务,新市镇建设路60号,四川省,德阳市,绵竹市,104.1783718,31.22164969
宜生源超市,购物服务,超级市场,超市,人家北80米(成青路北),四川省,德阳市,绵竹市,104.1812192,31.2175728
悦购超市,购物服务,超级市场,超市,龙下路兄弟饭店斜对面,四川省,德阳市,什邡市,104.0445104,31.21587235
富江超市(灵杰镇人民政府南),购物服务,超级市场,超市,北京大道(灵杰镇人民政府南),四川省,德阳市,什邡市,104.0912382,31.20968892
鑫互惠购物中心,购物服务,商场,购物中心,古什路与021乡道交叉口东南50米,四川省,德阳市,旌阳区,104.365161,31.21517788
黄氏超市,购物服务,超级市场,超市,古什路与021乡道交叉口南150米,四川省,德阳市,旌阳区,104.3650792,31.21437136
互惠超市(龙泉村店),购物服务,超级市场,超市,古什路与021乡道交叉口东北50米附近,四川省,德阳市,旌阳区,104.3649384,31.21564795
亿儿超市,购物服务,超级市场,超市,泰山北路西50米,四川省,德阳市,旌阳区,104.401266,31.21136363
一条街超市,购物服务,超级市场,超市,子汉路与新西街交叉口西北50米,四川省,德阳市,中江县,104.6129826,31.21128877
宏源自选超市,购物服务,超级市场,超市,青市乡,四川省,德阳市,中江县,104.6146366,31.21196219
辉英超市,购物服务,超级市场,超市,子汉路与新西街交叉口东50米,四川省,德阳市,中江县,104.6129287,31.21022931
赵鸭儿超市,购物服务,超级市场,超市,黎曙镇长兴建黄路中国邮政东北50米,四川省,绵阳市,三台县,104.7515231,31.2128678
财源滚滚超市,购物服务,超级市场,超市,芦跃路附近,四川省,绵阳市,三台县,104.8940405,31.20824347
壹家超市,购物服务,超级市场,超市,刘营镇建设街028号,四川省,绵阳市,三台县,104.9791452,31.21315189
鑫鑫旺超市,购物服务,超级市场,超市,205省道星宇科技旁,四川省,绵阳市,三台县,104.9787073,31.21262141
鑫源超市(刘营镇卫生院西),购物服务,超级市场,超市,205省道四季风旁(刘营镇卫生院西),四川省,绵阳市,三台县,104.978327,31.21229566
清双超市,购物服务,超级市场,超市,213国道与S9都汶高速交叉口西南150米附近,四川省,阿坝藏族羌族自治州,汶川县,103.495861,31.20071934
河边超市,购物服务,超级市场,超市,小夫路西100米,四川省,成都市,彭州市,103.9108701,31.20626643
实惠超市,购物服务,超级市场,超市,兴鹿街,四川省,成都市,彭州市,103.910994,31.20661021
湔底乐亿家超市,购物服务,超级市场,超市,双流路,四川省,德阳市,什邡市,104.0155887,31.20404988
开心花园广场,购物服务,超级市场,超市,泰山北路附近,四川省,德阳市,旌阳区,104.4007806,31.20485265
川百惠购物中心(新鲁店),购物服务,超级市场,超市,新鲁镇双泉立龙路新鲁中心卫生院,四川省,绵阳市,三台县,104.8265725,31.20253194
鑫兴旺超市,购物服务,超级市场,超市,鲁南街64号附近,四川省,绵阳市,三台县,104.8267769,31.20008549
旗舰购物中心,购物服务,商场,购物中心,鲁南街与鲁西街交叉口北50米,四川省,绵阳市,三台县,104.8290702,31.20109033
世纪华联超市(新鲁店),购物服务,超级市场,超市,立龙路星河综合市场,四川省,绵阳市,三台县,104.8287237,31.20289083
什邡义乌国际商品城,购物服务,商场,购物中心,北京大道,四川省,德阳市,什邡市,104.1057097,31.19227289
得利来超市(京什小区店),购物服务,超级市场,超市,深圳大道东200米,四川省,德阳市,什邡市,104.1109459,31.1887084
好万家超市(什邡市川磷烧烫伤专科西),购物服务,超级市场,超市,双盛镇河坝金河磷矿对面,四川省,德阳市,什邡市,104.170909,31.19555393
观鱼超市,购物服务,超级市场,超市,新市镇文昌社区8号,四川省,德阳市,绵竹市,104.2526844,31.19139577
杨姐超市,购物服务,超级市场,超市,F03县道东50米,四川省,德阳市,中江县,104.6886484,31.19375367
农家便民超市,购物服务,超级市场,超市,,四川省,德阳市,什邡市,104.1384531,31.17738647
开心超市,购物服务,超级市场,超市,川西旅游环线与滨河南街交叉口西南150米,四川省,德阳市,什邡市,104.1636791,31.17718526
辛儿超市,购物服务,超级市场,超市,双盛镇双麟路37号,四川省,德阳市,什邡市,104.1643694,31.17752339
天天乐购物城,购物服务,超级市场,超市,德孝路与花园街交叉口东北50米,四川省,德阳市,旌阳区,104.3243898,31.18049755
佳友超市,购物服务,超级市场,超市,水塔巷与花园街交叉口南100米,四川省,德阳市,旌阳区,104.3199337,31.1820803
好实惠购物中心,购物服务,超级市场,超市,嘉和路与德孝路交叉口西北50米,四川省,德阳市,旌阳区,104.3187669,31.18166472
海彭超市,购物服务,超级市场,超市,德孝路与水塔巷交叉口南50米,四川省,德阳市,旌阳区,104.3195159,31.18120053
富江超市(马祖镇人民政府南),购物服务,超级市场,超市,复兴路与广青公路交叉口东北200米,四川省,德阳市,什邡市,104.1225864,31.17189857
富盛超市(什邡双盛批发零售店),购物服务,超级市场,超市|购物服务,盛兴路16号,四川省,德阳市,什邡市,104.1649566,31.17439703
双鑫购物中心,购物服务,超级市场,超市,盛兴路28附近,四川省,德阳市,什邡市,104.16414,31.17547597
李氏超市,购物服务,超级市场,超市,福寿东街与023乡道交叉口北50米,四川省,德阳市,旌阳区,104.2840617,31.17240491
华宇超市,购物服务,超级市场,超市,景西街34号附近,四川省,德阳市,旌阳区,104.2817701,31.16946224
巨狼商城,购物服务,商场,普通商场,农科巷与古什路交叉口东北50米,四川省,德阳市,旌阳区,104.3832548,31.17338658
华亿超市(孝感店),购物服务,超级市场,超市,农科巷与古什路交叉口西150米,四川省,德阳市,旌阳区,104.3820055,31.17364035
银都华联购物中心(银都华联孝感店),购物服务,超级市场,超市,农科巷与古什路交叉口东北50米,四川省,德阳市,旌阳区,104.3832837,31.1735075
佳乐多惠购超市,购物服务,超级市场,超市,孝感镇澜沧江西路218号怡景花园,四川省,德阳市,旌阳区,104.3794352,31.17561838
双双超市(莲池路),购物服务,超级市场,超市,泰山北路770号附近,四川省,德阳市,旌阳区,104.3956156,31.17109034
家佳乐超市,购物服务,超级市场,超市,芦德路与013乡道交叉口西南100米,四川省,德阳市,旌阳区,104.5417292,31.17677744
实惠超市,购物服务,超级市场,超市,南平南路附近,四川省,成都市,彭州市,103.8182134,31.16173355
昌宏超市,购物服务,超级市场,超市,榕城路132,四川省,成都市,彭州市,103.8262735,31.16024542
怡家超市,购物服务,超级市场,超市,通济镇镇医院斜对面,四川省,成都市,彭州市,103.8285689,31.16453159
友谊超市(崇德路),购物服务,超级市场,超市,崇德路168号,四川省,成都市,彭州市,103.8297473,31.16321346
家家乐购物广场,购物服务,超级市场,超市,崇德路206号,四川省,成都市,彭州市,103.8298715,31.16388436
红旗连锁超市,购物服务,超级市场,超市,崇德路139-141号,四川省,成都市,彭州市,103.8292073,31.16080166
什邡市师古镇天天文具店二门市部,购物服务,商场,商场,师古路与高家巷交叉口西北50米,四川省,德阳市,什邡市,104.0622913,31.15937995
四川客卖隆超市(师古店),购物服务,超级市场,超市,湮市街容和黄金口岸,四川省,德阳市,什邡市,104.0611403,31.16434418
金亮百货,购物服务,超级市场,超市,十字街,四川省,德阳市,什邡市,104.0616204,31.16446239
联发购物(师古店),购物服务,超级市场,超市,清泉东路与铧炉街交叉口南150米,四川省,德阳市,什邡市,104.061313,31.16333343
沃家生活广场,购物服务,超级市场,超市,富康街与湮市街交汇处东南100米,四川省,德阳市,什邡市,104.0636085,31.16611364
林老二乡村超市,购物服务,超级市场,超市,建设路29号附近,四川省,德阳市,什邡市,104.1162404,31.16165667
严姐超市,购物服务,超级市场,超市,兴隆路与建设路交叉口东,四川省,德阳市,什邡市,104.1219782,31.16266355
富江超市(黄河村农家店),购物服务,超级市场,超市,孝感与德孝路交叉口东北50米,四川省,德阳市,旌阳区,104.3614706,31.15700418
